arquivo;linha_inicio_p1;linha_fim_p1;linha_inicio_p2;linha_fim_p2;merge_id;commit_hash
io/realm/internal/QueryDescriptorTests;256;258;260;259;1010;3c9d16543af7004199648a02fe5d9e8d9d93f20d
io/realm/internal/UncheckedRow;434;434;436;436;1027;ced3c9200e7e5a36fe0b6d42ef9eaac6e35b80f6
io/realm/internal/UncheckedRow;463;463;465;465;1027;ced3c9200e7e5a36fe0b6d42ef9eaac6e35b80f6
io/realm/some_test_AllTypesRealmProxy;1806;1806;1808;1808;1030;8d75800ce1bf2feef5c32477d87aa1f48548ad0a
io/realm/some_test_AllTypesRealmProxy;2062;2062;2064;2064;1030;8d75800ce1bf2feef5c32477d87aa1f48548ad0a
io/realm/some_test_AllTypesRealmProxy;2317;2317;2319;2319;1030;8d75800ce1bf2feef5c32477d87aa1f48548ad0a
io/realm/some_test_AllTypesRealmProxy;2643;2643;2645;2645;1030;8d75800ce1bf2feef5c32477d87aa1f48548ad0a
io/realm/internal/QueryDescriptorTests;256;258;260;259;1030;8d75800ce1bf2feef5c32477d87aa1f48548ad0a
io/realm/some_test_AllTypesRealmProxy;1798;1798;1800;1800;1048;49f8d564123ec892ce4410ccf458c571be444142
io/realm/some_test_AllTypesRealmProxy;2054;2054;2056;2056;1048;49f8d564123ec892ce4410ccf458c571be444142
io/realm/some_test_AllTypesRealmProxy;2309;2309;2311;2311;1048;49f8d564123ec892ce4410ccf458c571be444142
io/realm/some_test_AllTypesRealmProxy;2635;2635;2637;2637;1048;49f8d564123ec892ce4410ccf458c571be444142
io/realm/internal/QueryDescriptorTests;256;258;260;259;1048;49f8d564123ec892ce4410ccf458c571be444142
io/realm/internal/QueryDescriptorTests;256;256;258;258;1062;5e5c3c1e2f31aed7ef8ffb0deeaff70bfb72a5ed
io/realm/DynamicRealmObject;127;128;130;131;1094;ee60d9c64ae4368bf4e5271572816c48f2989be2
io/realm/DynamicRealmObject;538;538;540;540;1094;ee60d9c64ae4368bf4e5271572816c48f2989be2
io/realm/DynamicRealmObject;555;555;557;557;1094;ee60d9c64ae4368bf4e5271572816c48f2989be2
io/realm/DynamicRealmObject;1059;1085;1087;1096;1094;ee60d9c64ae4368bf4e5271572816c48f2989be2
io/realm/DynamicRealmObject;1326;1328;1330;1331;1094;ee60d9c64ae4368bf4e5271572816c48f2989be2
io/realm/RealmObjectSchema;76;76;78;78;1094;ee60d9c64ae4368bf4e5271572816c48f2989be2
