id;commit_hash;file;heuristic;refactoring_type;is_floss;project
1;d936ad78169283fcd8e0b8923eefc4063b59f074;external/storm-kafka/src/jvm/org/apache/storm/kafka/KafkaUtils.java;true positive;none;not_floss;storm
2;a9a7bab592f55280ac4640a7a6cf37c2cda86bc1;storm-core/src/jvm/backtype/storm/utils/Utils.java;ordering conflict;none;not_floss;storm
3;b0f6e00e859d36f6c259345a1da8a205e6475c4f;storm-core/src/jvm/backtype/storm/utils/Utils.java;true positive;none;not_floss;storm
4;02e79499fa381b56f8a5333e00cf0cc0bd7aa252;storm-core/src/jvm/backtype/storm/Config.java;ordering conflict;none;not_floss;storm
5;023cebd062e002577e7a4ed38ef795060040f812;storm-core/src/jvm/backtype/storm/utils/TupleUtils.java;true positive;rename class;not_floss;storm
6;023cebd062e002577e7a4ed38ef795060040f812;external/storm-solr/src/main/java/org/apache/storm/solr/bolt/SolrUpdateBolt.java;ordering conflict;none;not_floss;storm
7;e2debccaca82f68602a9cfddddc7c9db6177e49d;storm-core/test/jvm/backtype/storm/localizer/LocalizerTest.java;true positive;none;not_floss;storm
8;89109b058c19f5f254a0de9dcb1f40fef875f3bf;storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java;true positive;none;not_floss;storm
9;6589ab56b351809ce50aef18f1b0246ba6383c48;jstorm-client/src/main/java/backtype/storm/utils/Utils.java;formatting conflict;none;not_floss;storm
10;3dc29e0dfde9923b54239714f5d7333cd1d11495;src/jvm/backtype/storm/scheduler/SchedulerAssignment.java;formatting conflict;none;not_floss;storm
11;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/test/storm/kafka/KafkaUtilsTest.java;ordering conflict;none;not_floss;storm
12;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java;true positive;none;not_floss;storm
13;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java;true positive;change method declaration;not_floss;storm
14;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java;true positive;change method declaration;not_floss;storm
