id;commit_hash;file;heuristic;refactoring_type;is_floss;project
1;d936ad78169283fcd8e0b8923eefc4063b59f074;external/storm-kafka/src/jvm/org/apache/storm/kafka/KafkaUtils.java;true positive;none;not_floss;storm
2;b0f6e00e859d36f6c259345a1da8a205e6475c4f;storm-core/src/jvm/backtype/storm/utils/Utils.java;true positive;none;not_floss;storm
3;e2debccaca82f68602a9cfddddc7c9db6177e49d;storm-core/test/jvm/backtype/storm/localizer/LocalizerTest.java;true positive;none;not_floss;storm
4;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java;true positive;none;not_floss;storm
5;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java;unhandled refactoring conflict;change method declaration;not_floss;storm
6;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java;unhandled refactoring conflict;change method declaration;not_floss;storm
7;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java;unhandled refactoring conflict;change method declaration;floss;storm
8;b1c8188d8252ef613c04aeae9e9560a800f9ead3;storm-core/src/jvm/org/apache/storm/utils/ConfigUtils.java;true positive;none;not_floss;storm
9;b47932d899917a8a2d1a5d9a671a448b147a7432;storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java;unhandled refactoring conflict;change method declaration;not_floss;storm
10;f18d98fc45f89d058ebbd2578e2c9e82cfedc722;storm-core/src/jvm/backtype/storm/messaging/netty/Context.java;true positive;none;not_floss;storm
11;5e362a840449a04cede08e30cc211b0495f16260;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/GenericVisitorAdapter.java;false positive;change method declaration;not_floss;javaparser
12;26c34ba7f398e73a01baeaee27a64ff40260647c;realm/src/main/java/io/realm/Realm.java;true positive;none;not_floss;realm
13;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
14;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;unhandled refactoring conflict;change method declaration;not_floss;realm
15;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
16;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
17;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
18;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
19;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
20;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/internal/TableQuery.java;unhandled refactoring conflict;change method declaration;not_floss;realm
21;dde9ab8c54a7970ed0c0b4e64c26d743302daa90;realm/realm-library/src/main/java/io/realm/internal/TableQuery.java;true positive;none;not_floss;realm
22;b1954a04c72706c8d4cf5af945366d3226e88f61;tightdb-java-core/src/main/java/com/tightdb/typed/TableCursorColumn.java;true positive;none;not_floss;realm
23;565065c615e5142d3354ec3f81724967500cfbae;doc/ref/examples/src/com/tightdb/refdoc/DynQueryIntro.java;true positive;none;not_floss;realm
24;565065c615e5142d3354ec3f81724967500cfbae;doc/ref/examples/src/com/tightdb/refdoc/DynQueryIntro.java;true positive;none;not_floss;realm
25;3e1310755be871ec120633637f17afe3a439f4bc;realm/realm-library/src/main/java/io/realm/internal/ObjectServerFacade.java;true positive;none;not_floss;realm
26;8c0778ed279e93806878e519e5e3d93caa370ced;/realm/realm-annotations-processor/src/test/resources/io/realm/DefaultRealmModuleMediator.java;true positive;none;not_floss;realm
27;8c0778ed279e93806878e519e5e3d93caa370ced;/realm/realm-annotations-processor/src/test/resources/io/realm/DefaultRealmModuleMediator.java;true positive;none;not_floss;realm
28;8c0778ed279e93806878e519e5e3d93caa370ced;realm/realm-annotations-processor/src/test/resources/io/realm/some_test_AllTypesRealmProxy.java;true positive;none;not_floss;realm
29;8c0778ed279e93806878e519e5e3d93caa370ced;realm/realm-annotations-processor/src/test/resources/io/realm/some_test_AllTypesRealmProxy.java;true positive;none;not_floss;realm
30;8c0778ed279e93806878e519e5e3d93caa370ced;realm/realm-annotations-processor/src/test/resources/io/realm/some_test_AllTypesRealmProxy.java;true positive;none;not_floss;realm
31;8c0778ed279e93806878e519e5e3d93caa370ced;realm/realm-annotations-processor/src/test/resources/io/realm/some_test_AllTypesRealmProxy.java;true positive;none;not_floss;realm
32;9401ff789334de769c06e63a56a7ccb45e87e44e;src/main/java/com/tightdb/lib/TightDB.java;true positive;none;not_floss;realm
33;ebd7e5879065bf7439588703284b7a5eb64e1eab;realm/realm-annotations-processor/src/main/java/io/realm/processor/RealmProxyClassGenerator.java;true positive;none;not_floss;realm
34;fa982b07c69aca919e4483d4b15c1bdc1039b993;realm/src/main/java/io/realm/Realm.java;true positive;none;not_floss;realm
35;fa982b07c69aca919e4483d4b15c1bdc1039b993;realm-annotations-processor/src/test/resources/io/realm/SimpleRealmProxy.java;true positive;none;not_floss;realm
36;fa982b07c69aca919e4483d4b15c1bdc1039b993;realm-annotations-processor/src/test/resources/io/realm/BooleansRealmProxy.java;false positive;change method declaration;not_floss;realm
37;fa982b07c69aca919e4483d4b15c1bdc1039b993;realm-annotations-processor/src/test/resources/io/realm/BooleansRealmProxy.java;false positive;change method declaration;not_floss;realm
38;fa982b07c69aca919e4483d4b15c1bdc1039b993;realm-annotations-processor/src/test/resources/io/realm/AllTypesRealmProxy.java;true positive;none;not_floss;realm
39;fa982b07c69aca919e4483d4b15c1bdc1039b993;realm-annotations-processor/src/main/java/io/realm/processor/RealmProxyClassGenerator.java;true positive;none;not_floss;realm
