id;commit_hash;file;heuristic;refactoring_type;is_floss;project
1;d936ad78169283fcd8e0b8923eefc4063b59f074;external/storm-kafka/src/jvm/org/apache/storm/kafka/KafkaUtils.java;true positive;none;not_floss;storm
2;b0f6e00e859d36f6c259345a1da8a205e6475c4f;storm-core/src/jvm/backtype/storm/utils/Utils.java;true positive;none;not_floss;storm
3;023cebd062e002577e7a4ed38ef795060040f812;storm-core/src/jvm/backtype/storm/utils/TupleUtils.java;unhandled refactoring conflict;rename class;not_floss;storm
4;e2debccaca82f68602a9cfddddc7c9db6177e49d;storm-core/test/jvm/backtype/storm/localizer/LocalizerTest.java;true positive;none;not_floss;storm
5;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java;true positive;none;not_floss;storm
6;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java;unhandled refactoring conflict;change method declaration;not_floss;storm
7;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java;unhandled refactoring conflict;change method declaration;not_floss;storm
8;fe882009aa1070b3abb216064f7b54e6a5ac56c1;external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java;unhandled refactoring conflict;change method declaration;floss;storm
9;b1c8188d8252ef613c04aeae9e9560a800f9ead3;storm-core/src/jvm/org/apache/storm/utils/ConfigUtils.java;true positive;none;not_floss;storm
10;d46ed8fbe6bbd8116ceb60769f4b0b569bfd2d0d;storm-core/src/jvm/org/apache/storm/metric/StormMetricsRegistry.java;formatting conflict;none;not_floss;storm
11;b47932d899917a8a2d1a5d9a671a448b147a7432;storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java;unhandled refactoring conflict;change method declaration;floss;storm
12;f18d98fc45f89d058ebbd2578e2c9e82cfedc722;storm-core/src/jvm/backtype/storm/messaging/netty/Context.java;true positive;none;not_floss;storm
13;fc4af07a0809e462b759c4e361810a986333448d; javaparser-core/src/main/java/com/github/javaparser/metamodel/JavaParserMetaModel.java;unhandled refactoring conflict;rename field;not_floss;javaparser
14;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/VoidVisitorAdapter.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
15;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/NoCommentHashCodeVisitor.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
16;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/NoCommentEqualsVisitor.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
17;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/ModifierVisitor.java;unhandled refactoring conflict;change method declaration;floss;javaparser
18;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/HashCodeVisitor.java;unhandled refactoring conflict;change method declaration;floss;javaparser
19;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/EqualsVisitor.java;unhandled refactoring conflict;change method declaration;not_floss;javaparser
20;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/CloneVisitor.java;unhandled refactoring conflict;change method declaration;floss;javaparser
21;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/CloneVisitor.java;unhandled refactoring conflict;change method declaration;floss;javaparser
22;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleUsesDirective.java;unhandled refactoring conflict;rename class;floss;javaparser
23;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleRequiresDirective.java;unhandled refactoring conflict;rename class;floss;javaparser
24;fc4af07a0809e462b759c4e361810a986333448d;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleProvidesDirective.java;unhandled refactoring conflict;rename class;floss;javaparser
25;c96f96dbd7af6c8ea8ed38e44a0499e9a6941103; src/test/resources/bdd/samples/JavaConcepts.java;unhandled refactoring conflict;rename class;not_floss;javaparser
26;02686a5216af96fadd661ae3d61fe5c4eda76bd3;javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserEnumDeclarationTest.java;formatting conflict;none;not_floss;javaparser
27;5e362a840449a04cede08e30cc211b0495f16260;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/GenericVisitorAdapter.java;true positive;none;not_floss;realm
28;463742ab0ada407592d58af772e4e39e0b5b38c7;realm-annotations-processor/src/test/resources/io/realm/SimpleRealmProxy.java;false positive;none;not_floss;realm
29;463742ab0ada407592d58af772e4e39e0b5b38c7;realm-annotations-processor/src/test/resources/io/realm/SimpleRealmProxy.java;false positive;none;not_floss;realm
30;26c34ba7f398e73a01baeaee27a64ff40260647c;realm/src/main/java/io/realm/Realm.java;true positive;none;not_floss;realm
31;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
32;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;change method declaration;not_floss;realm
33;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
34;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
35;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
36;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
